autorinnenname,land,wohnort,titel,eingeladen_von,teilnahmejahr,geburtsjahr,geschlecht,vorgetragen_am,preis_gewonnen,wikipedia,webseite
Sylvie Schenk,Deutschland,"Aachen, La Roche de Rame-Hautes Alpes","Schnell, dein Leben",Hubert Winkels,03072016,01071944,w,Freitag,False,True,"https://bachmannpreis.orf.at/stories/2773163/"
Ada Dorian,Deutschland,Osnabrück,Betrunkene Bäume,Hildegard E. Keller,03072016,12091981,w,Samstag,False,True,"https://bachmannpreis.orf.at/stories/2773155/"
Sharon Dodua Otoo,Großbritannien,Berlin,Herr Gröttrup setzt sich hin,Sandra Kegel,03072016,01071972,w,Samstag,True,True,"https://bachmannpreis.orf.at/stories/2773160/"
Astrid Sozio,Deutschland,Hamburg,Das verlassenste Land,Juri Steiner,03072016,01071979,w,Samstag,False,False,"https://bachmannpreis.orf.at/stories/2773166/"
Dieter Zwicky,Schweiz,"Uster, Zürich",Los Alamos ist winzig,Juri Steiner,03072016,07091957,m,Samstag,True,True,"https://bachmannpreis.orf.at/stories/2773168/"
Katerina Poladjan,"Deutschland, Russland",Frankfurt/Main,Es ist weit bis Marseille,Meike Feßmann,05072015,01071979,w,Donnerstag,False,True,"https://bachmannpreis.orf.at/stories/2709728/"
Nora Gomringer,"Schweiz, Deutschland",Bamberg,Recherche,Sandra Kegel,05072015,26011980,w,Donnerstag,True,True,"https://bachmannpreis.orf.at/stories/2709007/"
Saskia Hennig von Lange,Deutschland,Frankfurt/Main,Hierbleiben,Sandra Kegel,05072015,01071976,w,Donnerstag,False,True,"https://bachmannpreis.orf.at/stories/2709015/"
Sven Recker,Deutschland,Berlin,"BROT, BROT, BROT",Meike Feßmann,05072015,01071973,m,Donnerstag,False,False,"https://bachmannpreis.orf.at/stories/2709070/"
Valerie Fritsch,Österreich,Graz,Das Bein,Klaus Kastberger,05072015,14051989,w,Donnerstag,True,True,"https://bachmannpreis.orf.at/stories/2709005/"
Peter Truschner,"Österreich, Deutschland",Berlin,RTL-Reptil,Stefan Gmünder,05072015,03081967,m,Freitag,False,True,"https://bachmannpreis.orf.at/stories/2709073/"
FALKNER,Österreich,Wien,Krieger sein Bruder sein – Manifest 47,Klaus Kastberger,05072015,01071970,w,Freitag,False,True,"https://bachmannpreis.orf.at/stories/2708994/"
Tim Krohn,"Schweiz, Deutschland",Val Müstair,Zum Paradies,Juri Steiner,05072015,09021965,m,Freitag,False,True,"https://bachmannpreis.orf.at/stories/2709017/"
Monique Schwitter,"Schweiz, Deutschland",Hamburg,Esche,Hildegard E. Keller,05072015,02031972,w,Freitag,False,True,"https://bachmannpreis.orf.at/stories/2709277/"
Ronja von Rönne,Deutschland,Berlin,Welt am Sonntag,Hubert Winkels,05072015,16011992,w,Freitag,False,True,"https://bachmannpreis.orf.at/stories/2709072/"
Jürg Halter,Schweiz,Bern,Erwachen im 21. Jahrhundert,Juri Steiner,05072015,23061980,m,Samstag,False,True,"https://bachmannpreis.orf.at/stories/2709014/"
Anna Baar,Österreich,Klagenfurt,Die Farbe des Granatapfels,Stefan Gmünder,05072015,01071973,w,Samstag,False,True,"https://bachmannpreis.orf.at/stories/2708993/"
Teresa Präauer,Österreich,Wien,"Oh, Schimmi",Hubert Winkels,05072015,28021979,w,Samstag,False,True,"https://bachmannpreis.orf.at/stories/2709019/"
Dana Grigorcea,"Schweiz, Rumänien",Zürich,Das primäre Gefühl der Schuldlosigkeit,Hildegard E. Keller,05072015,11111979,w,Samstag,True,True,"https://bachmannpreis.orf.at/stories/2709008/"
Roman Marchel,Österreich,südliches Waldviertel,Die fröhlichen Pferde von Chauvet,Arno Dusini,06072014,01071974,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4644/index.html"
Kerstin Preiwuß,Deutschland,Leipzig,unbetitelter Text,Meike Feßmann,06072014,01071980,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4635/index.html"
Tobias Sommer,Deutschland,Bad Segeberg,Steuerstrafakte,Juri Steiner,06072014,01071978,m,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4629/index.html"
Gertraud Klemm,Österreich,Pfaffstätten,Ujjayi (Romanauszug),Hubert Winkels,06072014,06071971,w,Donnerstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4648/index.html"
Olga Flor,Österreich,Graz,Unter Platanen,Daniela Strigl,06072014,25011968,w,Donnerstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4661/index.html"
Anne-Kathrin Heier,Deutschland,Berlin,Ichthys,Burkhard Spinnen,06072014,01071977,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4651/index.html"
Birgit Pölzl,Österreich,Graz,Maia,Arno Dusini,06072014,01071959,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4638/index.html"
Senthuran Varatharajah,Deutschland,Berlin,Vor der Zunahme der Zeichen (Romanauszug),Meike Feßmann,06072014,01071984,m,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4626/index.html"
Michael Fehr,Schweiz,Bern,Simeliberg (Romanauszug),Juri Steiner,06072014,01071982,m,Freitag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4665/index.html"
Romana Ganzoni,Schweiz,Celerina,Ignis Cool,Hildegard E. Keller,06072014,18041967,w,Freitag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4656/index.html"
Katharina Gericke,Deutschland,Berlin,DOWN DOWN DOWN To The Queen Of Chinatown,Burkhard Spinnen,06072014,04041966,w,Samstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4653/index.html"
Tex Rubinowitz,"Österreich, Deutschland",Wien,Wir waren niemals hier,Daniela Strigl,06072014,05121961,m,Samstag,True,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4632/index.html"
Georg Petz,Österreich,Graz,Millefleurs,Hildegard E. Keller,06072014,21121977,m,Samstag,False,True,"http://archiv.bachmannpreis.orf.at/bachmannpreis.eu/de/autoren/4641/index.html"
